"key","en","ja"
"status_effect.frost.description","Reduces the decay of all other status effects on the wall by {reduction} per stack","壁に付与された他の全てのステータス効果の減少量を、スタックごとに{reduction}抑制します"
"status_effect.molten.name","Molten","溶融"
"status_effect.molten.description","For every stack, the Wall takes {percent_increase}% more damage from Dragon Fireballs","スタックごとに、壁が受けるドラゴン・ファイアボールのダメージが{percent_increase}%増加する"
"status_effect.resonance.name","Shatter","粉砕"
"status_effect.resonance.description","For every stack, the Wall takes {percent_increase}% more damage from Dragon Fireballs and Curses","スタックごとに、壁が受けるドラゴン・ファイアボールと「呪い」のダメージが{percent_increase}%増加する"
"status_effect.weakened.name","Weakened","弱体化"
"status_effect.weakened.description","For every stack, the Wall takes {percent_increase}% more damage","スタックごとに、壁が受けるダメージが{percent_increase}%増加する"
"tooltip.blessing_locked","Blessings below are locked until you have {points} total points

- You currently have {total_points} total points","以下の祝福は合計ポイントが{points}に達するまでロックされています。

- 現在の合計ポイント: {total_points}"
"tooltip.damage_chart_button","Toggle Damage Chart","ダメージチャート切替"
"tooltip.knowledge","Knowledge","知識"
"tooltip.magic","Magic","魔力"
"tooltip.milestone_blessings","Milestone Blessings are automatically unlocked when you reach a certain number of prestige points","マイルストーン祝福は、プレステージポイントが一定数に達すると自動的に解放されます"
"training.alchemy_101","Alchemy Research","錬金術研究"
"training.alchemy_101.tooltip","Increases {magic_gold_icon} production speed by {percent_increase}%","{magic_gold_icon}の生産速度が{percent_increase}%増加します"
"training.dragon_bond","Dragon Research","ドラゴン研究"
"training.dragon_bond.tooltip","Increase Dragon EXP gain by {percent_increase}%","ドラゴンEXPの獲得量が{percent_increase}%増加します"
"training.herbology","Forestry Research","林業研究"
"training.herbology.tooltip","Increase {wood_icon} gain by {percent_increase}%","{wood_icon}の獲得量が{percent_increase}%増加します"
"training.magic_101","Magic Research","魔術研究"
"training.magic_101.tooltip","Increase {magic_icon} provided by Cloudlings by {percent_increase}%","クラウドリングが提供する{magic_icon}が{percent_increase}%増加します"
"tree.academy_exp_rune.name","Academy Boost","アカデミーブースト"
"tree.academy_exp_rune.description","Increases the Academy EXP gain by {percent_increase}%","アカデミーEXPの獲得量が{percent_increase}%増加します"
"tree.alchemy.name","Alchemy Boost","錬金術ブースト"
"tree.alchemy.description","Increases {magic_gold_icon} production speed by {percent_increase}%","{magic_gold_icon}の生産速度が{percent_increase}%増加します"
"tree.alloy.name","Alloy","合金"
"tree.alloy.description","The base damage of Ifrits increases by {percent_increase}% for each Gorgon, Shaman, and Zephyr.","ゴルゴン、シャーマン、ゼファーそれぞれ1体につき、イフリートの基礎ダメージが{percent_increase}%増加します。"
"tree.arc.name","Arc","アーク"
"tree.arc.description","Increase Gorgon damage by {percent_increase}% for every Zephyr or Cloudling.","ゼファーまたはクラウドリング1体につき、ゴルゴンのダメージが{percent_increase}%増加します。"
"tree.charge.name","Charge","チャージ"
"tree.charge.description","Every time Lightning deals damage, the base damage of Lightning is permanently increased by {damage_increase}.","「稲妻」がダメージを与えるたびに、その基礎ダメージが永続的に{damage_increase}増加します。"
"tree.class_of_destruction.name","Sages of Destruction","破壊の賢者"
"tree.class_of_destruction.description","Spirit Sages deal {base_damage} damage to the wall.","スピリットセージが壁に{base_damage}のダメージを与えます。"
"tree.cloud.name","Magic Boost","魔力ブースト"
"tree.cloud.description","Increases {magic_icon} gain by {percent_increase}%","{magic_icon}の獲得量が{percent_increase}%増加します"
"tree.create_gorgons.name","Summon Gorgons","ゴルゴン召喚"
"tree.create_gorgons.description","Summon {amount} Gorgons","ゴルゴンを{amount}体召喚する"
"tree.create_ifrits.name","Summon Ifrits","イフリート召喚"
"tree.create_ifrits.description","Summon {amount} Ifrits","イフリートを{amount}体召喚する"
"tree.create_shamans.name","Summon Shamans","シャーマン召喚"
"tree.create_shamans.description","Summon {amount} Shamans","シャーマンを{amount}体召喚する"
"tree.curse_resonance.name","Curse Aura","呪いのオーラ"
"tree.curse_resonance.description","When a curse appears on the wall, all Gorgons will gain an aura, increasing their next damage by {percent_increase}%

- Can stack multiple times.","壁に呪いが現れると、全てのゴルゴンがオーラをまとい、次の攻撃ダメージが{percent_increase}%増加します。

- この効果は複数回スタックします。"
"tree.cursed_fire.name","Cursed Fire","呪われし炎"
"tree.cursed_fire.description","The Molten effects on the wall will apply to Curses at {percent_of}% of the effect.","壁の「溶融」効果が、「呪い」にも{percent_of}%の効果で適用されるようになります。"
"tree.cursed_shards.name","Cursed Shards","呪われし破片"
"tree.cursed_shards.description","The base damage of Curses is added to Shrapnel base damage","「呪い」の基礎ダメージが「破片」の基礎ダメージに加算されます"
"tree.diversity.name","Diversity","多様性"
"tree.diversity.description","Spirit Sage base damage increases by {damage_increase}% per stack of any status effect other than Weakened.","「弱体化」以外のステータス効果が1スタックするごとに、スピリットセージの基礎ダメージが{damage_increase}%増加します。"
"tree.dragon_wands.name","Dragon Wands","ドラゴンワンド"
"tree.dragon_wands.description","{percent_of}% of dragon fireball base damage is added to Spirit Sage base damage.","ドラゴン・ファイアボールの基礎ダメージの{percent_of}%が、スピリットセージの基礎ダメージに加算されます。"
"tree.dragon.name","Dragon Keeper Boost","ドラゴンの番人ブースト"
"tree.dragon.description","Increases Dragon EXP gain by {percent_increase}%","ドラゴンEXPの獲得量が{percent_increase}%増加します"
"tree.fire_arrows.name","Fire Arrows","火矢"
"tree.fire_arrows.description","Shamans can now shoot fire arrows, dealing {damage}x of Shaman arrow damage to the wall.","シャーマンが火矢を放てるようになり、壁にシャーマンの矢の{damage}倍のダメージを与えます。"
"tree.fire_damage.name","Molten Arrows","溶融の矢"
"tree.fire_damage.description","The Molten effects on the wall will apply to Fire arrows at {percent_of}% of the effect.","壁の「溶融」効果が、「火矢」にも{percent_of}%の効果で適用されるようになります。"
"tree.fireball_shrapnel.name","Fireball Shrapnel","ファイアボールの破片"
"tree.fireball_shrapnel.description","Fireballs explode into {amount} Shrapnel, which each deal {base_damage} damage to the wall.

- Does not count as Fireball damage.","ファイアボールが爆発して{amount}個の「破片」になり、それぞれが壁に{base_damage}のダメージを与えます。

- このダメージはファイアボールのダメージとしてカウントされません。"
"tree.fusion.name","Fusion","融合"
"tree.fusion.description","Fireball base damage increases by {percent_increase}% for each base damage Ifrits have.","イフリートの基礎ダメージ1ごとに、ファイアボールの基礎ダメージが{percent_increase}%増加します。"
"tree.hot_blooded.name","Hot Blooded","熱血"
"tree.hot_blooded.description","The Molten effects on the wall will apply to Ifrit fireballs.","壁の「溶融」効果がイフリートのファイアボールに適用されるようになります。"
"tree.hot_runes.name","Hot Runes","ホットルーン"
"tree.hot_runes.description","Shrapnel base damage increases by {percent_increase}% for each rune unlocked.","解放済みのルーン1つにつき、「破片」の基礎ダメージが{percent_increase}%増加します。"
"tree.ice_arrow_damage.name","Ice Arrow Damage","氷矢ダメージ"
"tree.ice_arrow_damage.description","Ice arrows deal damage equal to the base damage of {mult} Gorgons.","氷矢が、{mult}体のゴルゴンの基礎ダメージに等しいダメージを与えます。"
"tree.ice_arrows.name","Ice Arrows","氷矢"
"tree.ice_arrows.description","Shamans can now shoot ice arrows, which will apply {stacks} Frost to the wall, reducing the decay of status effects on the wall.","シャーマンが氷矢を放てるようになります。これにより壁に{stacks}スタックの「フロスト」が付与され、ステータス効果の減少が抑制されます。"
"tree.infinity_resonance.name","Infinity Resonance","無限共鳴"
"tree.infinity_resonance.description","Gorgons gain {percent_increase}% damage for each Infinity Rune you have.","所有するインフィニティルーン1つにつき、ゴルゴンのダメージが{percent_increase}%増加します。"
"tree.infinity.name","Infinity","無限"
"tree.infinity.description","Unlocks an upgrade to increase all types of damage in exchange for {blank_rune_icon}.","{blank_rune_icon}と引き換えに、全ての種類のダメージを増加させるアップグレードを解放します。"
"tree.instructions.name","Instructions","説明"
"tree.instructions.description","Spend {image} Blank Runes to unlock upgrades.","{image}個の「空のルーン」を消費してアップグレードを解放します。"
"tree.relics.name","Relics","レリック"
"tree.relics.description","Gorgon base damage will also increase by {damage_increase} for each Holy Grail or Philosopher's Stone you have.","所有する「聖杯」または「賢者の石」1つにつき、ゴルゴンの基礎ダメージがさらに{damage_increase}増加します。"
"tree.shrapnel_count.name","Shrapnel Count","破片の数"
"tree.shrapnel_count.description","Increase the number of Shrapnel from Fireballs by {amount}.","ファイアボールから生じる「破片」の数が{amount}個増加します。"
"tree.shrapnel_molten.name","Molten Shrapnel","溶融の破片"
"tree.shrapnel_molten.description","Each Shrapnel now applies {stacks} Molten to the wall.","各「破片」が壁に{stacks}スタックの「溶融」を付与するようになります。"
"tree.shrapnel_weakness.name","Shrapnel Weakness","弱体化の破片"
"tree.shrapnel_weakness.description","Each Shrapnel now applies {stacks} Weakness to the wall.","各「破片」が壁に{stacks}スタックの「弱体化」を付与するようになります。"
"tree.sound_pulse.name","Sound Pulse","サウンドパルス"
"tree.sound_pulse.description","Gorgons can now emit Sound Pulses, which will apply Shatter to the wall. For every stack of Shatter, the Wall takes {percent_increase}% more damage from Dragon Fireballs and Curses","ゴルゴンがサウンドパルスを発するようになり、壁に「粉砕」を付与します。「粉砕」のスタックごとに、壁が受けるドラゴン・ファイアボールと「呪い」のダメージが{percent_increase}%増加します"
"tree.strike_twice.name","Strike Twice","二度撃ち"
"tree.strike_twice.description","Lightning has a {chance}% chance to strike the wall twice.","「稲妻」が{chance}%の確率で壁に2回落雷します。"
"tree.wisps.name","Wisps","ウィスプ"
"tree.wisps.description","Gorgons can now emit Wisps, which will apply Cursed to the wall.","ゴルゴンがウィスプを発するようになり、壁に「呪い」を付与します。"
"tree.wood.name","Druid Boost","ドルイドブースト"
"tree.wood.description","Increases {wood_icon} gain by {percent_increase}%","{wood_icon}の獲得量が{percent_increase}%増加します"
"tree.zephyr_damage.name","Lightning","稲妻"
"tree.zephyr_damage.description","Zephyrs occasionally summon Lightning, which deals {damage_increase} damage to the wall.","ゼファーが時々「稲妻」を召喚し、壁に{damage_increase}のダメージを与えます。"
"blessing.spoiler","Hidden until the blessings above are unlocked","祝福が解放されるまで非表示"
"button.view_tower_requirements","Jump to Requirements","要件まで移動"
"label.needs_trade_agreements","- Need {amount} {trade_agreement_icon}","- 要求 {amount} {trade_agreement_icon}"
